id,title,price,rating,availability,category,image_url
0,It's Only the Himalayas,45.17,2,In stock,Travel,https://books.toscrape.com/media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg
1,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,45.17,4,In stock,Travel,https://books.toscrape.com/media/cache/57/77/57770cac1628f4407636635f4b85e88c.jpg
2,See America: A Celebration of Our National Parks & Treasured Sites,45.17,3,In stock,Travel,https://books.toscrape.com/media/cache/9a/7e/9a7e63f12829df4b43b31d110bf3dc2e.jpg
3,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,45.17,2,In stock,Travel,https://books.toscrape.com/media/cache/d5/bf/d5bf0090470b0b8ea46d9c166f7895aa.jpg
4,Under the Tuscan Sun,45.17,3,In stock,Travel,https://books.toscrape.com/media/cache/98/c2/98c2e95c5fd1a4e7cd5f2b63c52826cb.jpg
5,A Summer In Europe,45.17,2,In stock,Travel,https://books.toscrape.com/media/cache/4e/15/4e15150388702ebca2c5a523ac270539.jpg
6,The Great Railway Bazaar,45.17,1,In stock,Travel,https://books.toscrape.com/media/cache/76/de/76de41867f323d7f1f4fbe2fdfc1b2ba.jpg
7,A Year in Provence (Provence #1),45.17,4,In stock,Travel,https://books.toscrape.com/media/cache/db/46/db46159b05faa5d95262112bf9c29ddd.jpg
8,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),45.17,1,In stock,Travel,https://books.toscrape.com/media/cache/e0/4f/e04f8eda2a2fa947aec17640202d9ab0.jpg
9,Neither Here nor There: Travels in Europe,45.17,3,In stock,Travel,https://books.toscrape.com/media/cache/06/81/0681530a7bc301caf5c3257e1b0f0750.jpg
10,"1,000 Places to See Before You Die",45.17,5,In stock,Travel,https://books.toscrape.com/media/cache/d7/0f/d70f7edd92705c45a82118c3ff6c299d.jpg
11,Sharp Objects,47.82,4,In stock,Mystery,https://books.toscrape.com/media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg
